method_label,lam,alpha_fair,unfairness_level,n_seeds,test_regret_normalized_mean,test_regret_normalized_std,test_fairness_mean,test_fairness_std,test_pred_mse_mean,test_pred_mse_std,avg_cos_dec_pred_mean,avg_cos_dec_pred_std,avg_cos_dec_fair_mean,avg_cos_dec_fair_std,avg_cos_pred_fair_mean,avg_cos_pred_fair_std,stage_wallclock_sec_mean,stage_wallclock_sec_std
FDFL-MGDA,0.0,2.0,mild,5,0.1335962613870491,0.04791848749071578,0.11902260464239156,0.07127497681041414,1.3067194883554796,0.5814310699031159,0.1820386535222132,0.045898267145149496,0.029716863131555922,0.03367276552078814,0.10841719509732357,0.07750261891742985,24.17515424380008,0.8231022561959386
FDFL-PCGrad,0.0,0.5,high,5,0.011562410381458301,0.0008359176916963493,0.062415970690771205,0.03134427251542797,0.7886555281187249,0.03544568723553247,0.29104346755489474,0.021311141621070603,0.03788741407435536,0.028805132329788572,0.1756708406132346,0.13382062447176257,23.260749359200055,0.1694106867182388
FDFL-PCGrad,0.0,0.5,medium,5,0.0123477326218603,0.0012412523631226888,0.07385821256091826,0.05262577451274933,0.7081367242671754,0.032503312071784085,0.2741030674244502,0.02647167531554108,0.043092015784177595,0.02003145374201981,0.1332998168823016,0.08128930723173712,23.4171238490002,0.1956922755668454
FDFL-PCGrad,0.0,0.5,mild,5,0.012259517833233482,0.001249435857989098,0.06197746748993296,0.05479161001068328,0.6836947988245493,0.031694832727214975,0.2702735928877261,0.020544700275508452,0.042112902675879076,0.023635172160231598,0.14118645830841065,0.05962004177300572,23.55230010219975,0.13431421983523145
FDFL-PCGrad,0.0,2.0,high,5,0.11480038478202506,0.03274915146150715,0.21716388219144914,0.1238766232130232,1.5401160700574252,0.1869411371017599,0.14571803557888377,0.03631186188813081,0.004435763260671019,0.05036926799620002,0.22831052441983418,0.19781790921478143,24.02390597040012,0.966770977204368
FDFL-PCGrad,0.0,2.0,medium,5,0.10534565241666032,0.017784386326118493,0.20408342537478535,0.12682588993594587,1.4649391486757235,0.1416261968306416,0.1351960810435656,0.0350349517928553,0.017870184024135823,0.03014765788083685,0.07839362727118557,0.15319112588431907,23.97253591639992,0.9961811182164554
FDFL-PCGrad,0.0,2.0,mild,5,0.10365462856275154,0.018310072262754835,0.17896214991394171,0.10683561260317341,1.3926759490762446,0.1259587739136313,0.14082808322219886,0.03172091757708954,0.022996018264776662,0.01998083994952215,0.10042769628175732,0.10566438238246716,23.784448407000035,0.7986133255616883
FDFL-Scal,0.0,0.5,high,5,0.00954433077089158,0.0004566806319474899,0.1109821837825414,0.06450476724041432,0.685311606722175,0.04411806672832101,0.2684994842821198,0.02021507506672634,0.08801551950297844,0.019003794004535373,0.36851290187860253,0.07909967252236032,22.687215095599914,0.21480628474158325
FDFL-Scal,0.5,0.5,high,5,0.01120869478643868,0.0007433334521523481,0.0202270134587001,0.023205133809467947,0.7909180507289947,0.038084528709855195,0.2847864894711878,0.01746938231503284,0.06067472209241585,0.03593468312186559,0.22841213060736348,0.12124817239990239,22.40544412140007,0.40674111070892355
FDFL-Scal,1.0,0.5,high,5,0.01362304260046148,0.001577214454318226,0.032829123704375296,0.02034917431483667,0.941612255445752,0.07601040259893757,0.29554351609690294,0.028712105244496314,0.047378547856130784,0.03628597203526436,0.2015217371064459,0.10656796761193518,22.562574535400017,0.32846807231530284
